month,total_demand_gwh,peak_demand_gw
2015-01-01,13119.979,21.814
2015-02-01,12302.279,21.494
2015-03-01,12044.976,20.827
2015-04-01,10404.961,18.462
2015-05-01,10547.132,19.158
2015-06-01,10624.316,19.339
2015-07-01,12105.066,22.516
2015-08-01,11797.099,22.383
2015-09-01,11361.901,22.063
2015-10-01,10687.264,17.667
2015-11-01,10681.592,19.239
2015-12-01,11335.215,19.161
2016-01-01,12384.867,20.836
2016-02-01,11471.763,20.766
2016-03-01,11302.963,20.063
2016-04-01,10409.92,17.821
2016-05-01,10470.808,19.885
2016-06-01,11101.521,21.692
2016-07-01,12497.616,22.659
2016-08-01,13113.359,23.1
2016-09-01,11072.26,23.213
2016-10-01,10518.677,18.189
2016-11-01,10697.636,19.369
2016-12-01,11948.357,20.688
2017-01-01,12108.005,20.372
2017-02-01,10607.563,19.838
2017-03-01,11591.031,19.174
2017-04-01,9788.616,17.349
2017-05-01,10153.182,17.738
2017-06-01,10657.08,21.168
2017-07-01,11587.63,20.627
2017-08-01,11350.012,20.158
2017-09-01,10679.393,21.786
2017-10-01,10339.329,17.418
2017-11-01,10955.909,19.115
2017-12-01,12273.242,20.306
2018-01-01,12700.826000000001,20.906
2018-02-01,10951.065,20.076
2018-03-01,11372.42,18.462
2018-04-01,10578.368,18.011
2018-05-01,10421.469,20.473
2018-06-01,10923.446,21.369
2018-07-01,12685.321,23.046
2018-08-01,12688.795,21.99
2018-09-01,11147.31,23.24
2018-10-01,10717.348,18.205
2018-11-01,11360.321,20.152
2018-12-01,11889.857,19.891
2019-01-01,12777.216,21.525
2019-02-01,11291.744,20.5
2019-03-01,11658.678,20.263
2019-04-01,10264.505,17.645
2019-05-01,10219.56,16.784
2019-06-01,10365.619,20.248
2019-07-01,12792.766,21.791
2019-08-01,11825.052,21.354
2019-09-01,10318.533,19.717
2019-10-01,10351.05,18.329
2019-11-01,11255.325,19.625
2019-12-01,11981.407,20.974
2020-01-01,12178.575,19.928
2020-02-01,11239.82,19.63
2020-03-01,10989.389,18.183
2020-04-01,9282.854,15.35
2020-05-01,9642.117,20.649
2020-06-01,10800.015,21.292
2020-07-01,13202.706,24.446
2020-08-01,12081.08,23.823
2020-09-01,10114.374,20.225
2020-10-01,10339.39,17.679
2020-11-01,10529.032,19.147
2020-12-01,11826.072,20.738
2021-01-01,12105.158,20.15
2021-02-01,11233.123,20.318
2021-03-01,11101.706,19.344
2021-04-01,9781.57,16.644
2021-05-01,10086.333,19.443
2021-06-01,11262.474,22.258
2021-07-01,11636.443,21.655
2021-08-01,12856.511,22.986
2021-09-01,10389.017,18.769
2021-10-01,10516.14,17.312
2021-11-01,10956.602,19.644
2021-12-01,11919.133,20.455
2022-01-01,13085.388,21.349
2022-02-01,11487.734,20.918
2022-03-01,11816.835,19.763
2022-04-01,10265.047,17.256
2022-05-01,10469.914,21.292
2022-06-01,10929.858,21.954
2022-07-01,12343.623,22.607
2022-08-01,12624.254,21.871
2022-09-01,10814.096,20.35
2022-10-01,10384.167,17.294
2022-11-01,11044.181,19.441
2022-12-01,12304.768,20.326
2023-01-01,12519.712,20.486
2023-02-01,11225.17,21.388
2023-03-01,11846.269,18.811
2023-04-01,10271.638,17.547
2023-05-01,10356.75,20.787
2023-06-01,11119.814,21.463
2023-07-01,12507.785,22.686
2023-08-01,11828.62,21.364
2023-09-01,10997.556,23.713
2023-10-01,10932.34,20.849
2023-11-01,11456.562,20.579
2023-12-01,12068.508,20.004
2024-01-01,12932.636,20.88
2024-02-01,11437.175,19.703
2024-03-01,11484.309,18.813
2024-04-01,10429.148,17.958
2024-05-01,10683.881,20.436
2024-06-01,11543.786,23.852
2024-07-01,13026.541,23.356
2024-08-01,12611.122,23.179
2024-09-01,11264.302,21.546
2024-10-01,10949.216,17.998
2024-11-01,11248.652,19.26
2024-12-01,12806.403,20.929
2025-01-01,13563.432,21.94
2025-02-01,12181.126,21.302
2025-03-01,11988.832,20.301
2025-04-01,10762.945,19.492
2025-05-01,10677.319,18.153
2025-06-01,11796.265,24.862
2025-07-01,13838.122,24.528
2025-08-01,12864.235,24.789
2025-09-01,11217.314,19.931
2025-10-01,11227.735,20.335
2025-11-01,11945.01,19.731
2025-12-01,13525.161,21.406
2026-01-01,13878.533,22.042
2026-02-01,12248.614,21.601
2026-03-01,12516.169,20.395
2026-04-01,11019.91,18.461
2026-05-01,11054.917,20.82
2026-06-01,10953.474,22.044
